Iteration,BlockID,gen[B],kill[B],in[B],out[B]
3,74,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,75,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,76,{D8},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,77,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,78,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,79,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,80,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,81,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,82,{},{},{},{}
3,83,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,84,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,85,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,86,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,87,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,88,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,89,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,90,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,91,{},{},{},{}
3,92,{},{},{},{}
3,93,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,94,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,95,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,96,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,97,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,98,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,99,{},{},{},{}
3,100,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,101,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,102,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,103,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,104,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,105,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,106,{},{},{},{}
3,107,{},{},{},{}
3,108,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,109,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,110,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,111,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,112,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,113,{},{},{},{}
3,114,{},{},{},{}
3,115,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,116,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,117,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,118,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,119,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,120,{},{},{},{}
3,121,{},{},{},{}
3,122,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,123,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,124,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,125,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,126,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,127,{},{},{},{}
3,128,{},{},{},{}
3,129,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,130,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,131,{},{},{},{}
3,132,{},{},{},{}
3,133,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,134,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,135,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,136,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,137,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
